hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,dropout_prob,learning_rate,batch_size,use_flash_attention,use_swiglu,use_rope,use_rms_norm,accuracy,f1,loss,perplexity,inference_time_ms,model_size_mb,total_parameters,final_train_loss
128,4,4,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6822387294769288,1.978301660635213,2.0817995071411133,16.92340850830078,4436354,0.6894174516201019
128,4,4,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6838143248558044,1.981421120447626,1.4157772064208984,16.92780303955078,4437506,0.699733778834343
128,4,4,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6815227756500244,1.9768857948982361,2.0012378692626953,18.93512725830078,4963714,0.6921887621283531
128,4,4,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6833996520042419,1.9805996492341402,1.9048690795898438,18.93952178955078,4964866,0.6926079839468002
128,4,4,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6809851217269898,1.9758232001749256,2.108335494995117,17.92731475830078,4699522,0.695146132260561
128,4,4,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6827780714035034,1.9793689294497436,1.2604951858520508,17.93170928955078,4700674,0.6982098519802094
128,4,4,512,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6811217613220215,1.976093194302376,2.425813674926758,18.93512725830078,4963714,0.6962841041386127
128,4,4,512,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6870940060615539,1.9879302181051723,1.648259162902832,18.93952178955078,4964866,0.702583234757185
128,4,4,512,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6819772386550903,1.9777844205378454,2.4665117263793945,17.92731475830078,4699522,0.6926039233803749
128,4,4,512,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.680496096611023,1.9748572092215002,1.636958122253418,17.93170928955078,4700674,0.6883754506707191
128,4,4,1024,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6810758633613586,1.9760024977360873,2.5838136672973633,21.95075225830078,5754242,0.6952527947723866
128,4,4,1024,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6810669527053833,1.9759848903360706,1.837158203125,21.95514678955078,5755394,0.6896110847592354
128,4,4,1024,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6808919153213501,1.9756390493784082,1.8140792846679688,19.93512725830078,5225858,0.691423375159502
128,4,4,1024,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6810007195472717,1.9758540189504632,1.355910301208496,19.93952178955078,5227010,0.697549045085907
128,4,4,1024,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6807001714706421,1.9752602690550307,2.457427978515625,21.95075225830078,5754242,0.6863015666604042
128,4,4,1024,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6814651503562927,1.9767718795558653,1.3270378112792969,21.95514678955078,5755394,0.7046290375292301
128,4,4,1024,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.680630763053894,1.9751231741249162,2.005600929260254,19.93512725830078,5225858,0.703425906598568
128,4,4,1024,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6835998501777649,1.9809962013595785,1.3298988342285156,19.93952178955078,5227010,0.6994194202125072
128,6,2,256,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6854159178733825,1.9845970933081047,3.356647491455078,18.68811798095703,4898946,0.6867961473762989
128,6,2,256,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6848162565231323,1.9834073638884555,2.567005157470703,18.69446563720703,4900610,0.6976653896272182
128,6,2,256,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6811457891464233,1.97614067609309,2.9164552688598633,17.93225860595703,4700802,0.6936648041009903
128,6,2,256,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6811622014045715,1.9761731092901536,2.162933349609375,17.93860626220703,4702466,0.6962107047438622
128,6,2,256,0.2,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6827648477554321,1.9793427551446776,3.278040885925293,18.68811798095703,4898946,0.6990771852433681
128,6,2,256,0.2,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6835969033241271,1.9809903636623174,2.5684595108032227,18.69446563720703,4900610,0.6959116011857986
128,6,2,256,0.2,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6801252431869507,1.9741249624499102,3.211498260498047,17.93225860595703,4700802,0.6969106234610081
128,6,2,256,0.2,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.6805095720291138,1.9748838214273692,2.2014856338500977,17.93860626220703,4702466,0.6877652183175087
128,6,2,512,0.1,3e-05,32,True,True,True,True,0.578,0.42342712294043094,0.6813695487976075,1.976582906116236,3.13262939453125,20.94983673095703,5491842,0.6930629834532738
128,6,2,512,0.1,3e-05,32,True,True,True,False,0.578,0.42342712294043094,0.6831655778884888,1.9801360963775638,2.361440658569336,20.95618438720703,5493506,0.6902716718614101
128,6,2,512,0.1,3e-05,32,True,False,True,True,0.578,0.42342712294043094,0.6849665021896363,1.9837053846373942,2.80301570892334,19.43811798095703,5095554,0.6874646954238415
128,6,2,512,0.1,3e-05,32,True,False,True,False,0.578,0.42342712294043094,0.680487847328186,1.9748409181330138,2.2301435470581055,19.44446563720703,5097218,0.6940948963165283
